unitid,institutionname,fein,newfein
193052,Mesivta Torah Vodaath Rabbinical Seminary,111633531,111633531
193070,Mesivtha Tifereth Jerusalem of America,135600419,135600419
417752,Messenger College,431633187,431633187
213996,Messiah College,231352661,231352661
147129,Methodist College,370661223,370661223
198969,Methodist University,560657294,560657294
190114,Metropolitan College of New York,136192377,136192377
166869,MGH Institute of Health Professions,42868893,42868893
434414,Michigan Jewish Institute,382395931,382395931
245953,Mid-America Christian University,741196134,741196134
151962,Mid-America College of Funeral Service,751320711,751320711
199458,Mid-Atlantic Christian University,561065978,561065978
481225,Mid-South Christian College,510205293,510205293
155520,MidAmerica Nazarene University,480730814,480730814
230959,Middlebury College,30179298,30179298
119058,Middlebury Institute of International Studies at Monterey,941425570,941425570
181330,Midland University,470376551,470376551
157377,Midway University,610444708,610444708
178208,Midwestern Baptist Theological Seminary,440618839,440618839
480985,Midwives College of Utah,841398694,841398694
101675,Miles College,630400608,630400608
221014,Milligan College,620535755,620535755
147244,Millikin University,370706154,370706154
118888,Mills College,941156566,941156566
175980,Millsaps College,640303084,640303084
239309,Milwaukee Institute of Art & Design,391201561,391201561
239318,Milwaukee School of Engineering,390477970,390477970
174127,Minneapolis College of Art and Design,411607453,411607453
193247,Mirrer Yeshiva Cent Institute,111782116,111782116
214069,Misericordia University,240795406,240795406
176053,Mississippi College,640303086,640303086
178244,Missouri Baptist University,430817015,430817015
178369,Missouri Valley College,440545286,440545286
129774,Mitchell College,60662150,60662150
193292,Molloy College,111797182,111797182
147341,Monmouth College,370661228,370661228
185572,Monmouth University,210634584,210634584
262165,Montana Bible College,810444020,810444020
199032,Montreat College,560543261,560543261
166911,Montserrat College of Art,521859814,521859814
147369,Moody Bible Institute,362167792,362167792
214148,Moore College of Art and Design,231352236,231352236
214157,Moravian College,240795460,240795460
140553,Morehouse College,50566205,50566205
154004,Morningside College,420680400,420680400
218399,Morris College,576000734,576000734
214166,Mount Aloysius College,251114320,251114320
209241,Mount Angel Seminary,930386869,930386869
204176,Mount Carmel College of Nursing,311308555,311308555
166939,Mount Holyoke College,42103578,42103578
166948,Mount Ida College,42104736,42104736
219198,Mount Marty College,460283336,460283336
239390,Mount Mary University,390806154,390806154
154013,Mount Mercy University,420681046,420681046
204200,Mount Saint Joseph University,237179567,237179567
193353,Mount Saint Mary College,141468399,141468399
119173,Mount Saint Mary's University,951641455,951641455
163462,Mount St Mary's University,520591672,520591672
204194,Mount Vernon Nazarene University,310725957,310725957
214175,Muhlenberg College,231352664,231352664
209287,Multnomah University,930398802,930398802
204264,Muskingum University,314379515,314379515
127653,Naropa University,841029228,841029228
441478,National Graduate School of Quality Management,43250289,43250289
